triad_id,day_A,day_B,day_C,side_AB,side_BC,side_CA,metric_triangle_area,triadic_imbalance,orientation_score,dominant_carrier,rank,classification
T2053,2010,2011,2024,0.8378426019884997,3.6331376776537128,3.8377797877650086,1.5078947749661555,4.580549829593991,1.0,Solar,1525,LARGE_TRIADIC_STRUCTURE
T1778,2007,2021,2025,4.416117149090437,0.6959751395997428,4.6107721424738894,1.5034525450354324,6.624909253404593,1.0,Solar,1526,LARGE_TRIADIC_STRUCTURE
T2029,2009,2020,2024,4.061827795599079,0.745508496107639,4.041742083854276,1.5033691993342084,5.448399068295284,-1.0,Solar,1527,LARGE_TRIADIC_STRUCTURE
T166,2000,2009,2011,3.6644842266666977,0.8924868419488466,4.103149153818554,1.4993377220785469,4.597433778249168,1.0,Wind,1528,LARGE_TRIADIC_STRUCTURE
T1536,2006,2011,2021,1.3558080873933933,3.4283383582534754,4.5495655657658824,1.4982260389075566,3.3556117625117894,1.0,Solar,1529,LARGE_TRIADIC_STRUCTURE
T1364,2005,2011,2020,1.5386272695154788,3.5653341034908967,4.926831951177891,1.4964572350714118,3.202095821900631,1.0,Solar,1530,LARGE_TRIADIC_STRUCTURE
T1670,2007,2010,2016,0.877854928145664,3.715000153243071,4.1451363015303,1.4943404032468666,4.721892158521311,1.0,Nuclear,1531,LARGE_TRIADIC_STRUCTURE
T018,2000,2001,2019,0.8478459611375836,5.945315795131788,6.648397217603109,1.4884498182781152,7.841515466657091,1.0,Solar,1532,LARGE_TRIADIC_STRUCTURE
T276,2000,2018,2022,6.563419843754589,0.6011722863532878,6.973230167305361,1.4870383032740793,11.599387273164217,1.0,Solar,1533,LARGE_TRIADIC_STRUCTURE
T2274,2012,2016,2021,1.8798712220068592,1.8622864953034757,3.271231983813254,1.4862274374544353,1.756567527103384,1.0,Other Fossil,1534,LARGE_TRIADIC_STRUCTURE
T291,2000,2021,2022,6.995876484093234,0.42469194733615373,6.973230167305361,1.4803470348408638,16.472825839939535,1.0,Solar,1535,LARGE_TRIADIC_STRUCTURE
T541,2001,2017,2018,5.950952633943864,0.5079445208402903,5.869331620129411,1.4801381563493705,11.715753177333678,1.0,Solar,1536,LARGE_TRIADIC_STRUCTURE
T1146,2004,2009,2021,1.2866105406822144,3.9118832905054544,5.010246177141358,1.4789446412404812,3.894143580142533,1.0,Solar,1537,LARGE_TRIADIC_STRUCTURE
T984,2003,2013,2015,4.1705482731346395,1.60958323303599,5.66027098349693,1.4777450967208632,3.516606576983625,1.0,Nuclear,1538,LARGE_TRIADIC_STRUCTURE
T593,2002,2003,2020,0.7576012954323174,5.465780229768622,6.021631570279538,1.4751276143965333,7.948285736290032,1.0,Solar,1539,LARGE_TRIADIC_STRUCTURE
T1365,2005,2011,2021,1.5386272695154788,3.4283383582534754,4.78243669864322,1.4731524237561444,3.1082490174174757,1.0,Solar,1540,LARGE_TRIADIC_STRUCTURE
T1055,2003,2022,2023,5.322462373309398,0.5551450108099307,5.395103506186263,1.4726822370790993,9.718367995985515,1.0,Solar,1541,LARGE_TRIADIC_STRUCTURE
T1514,2006,2010,2013,0.9526887089467356,3.272569755504447,3.69862866794402,1.471122148165887,3.8823055560647024,-1.0,Nuclear,1542,LARGE_TRIADIC_STRUCTURE
T299,2000,2023,2025,7.026002874809416,0.4565906862255409,7.223275777699131,1.4661200839366983,15.82002435794555,1.0,Solar,1543,LARGE_TRIADIC_STRUCTURE
T1517,2006,2010,2016,0.9526887089467356,3.715000153243071,4.323341813789085,1.4629805585869975,4.538042461497044,1.0,Nuclear,1544,LARGE_TRIADIC_STRUCTURE
T594,2002,2003,2021,0.7576012954323174,5.3526240196754005,5.9026555333668576,1.462632404946696,7.791242661482737,1.0,Solar,1545,LARGE_TRIADIC_STRUCTURE
T2285,2012,2017,2024,2.368335676467334,1.6428429406365912,3.6662491439707714,1.462045741252436,2.231649205949123,1.0,Other Fossil,1546,LARGE_TRIADIC_STRUCTURE
T1619,2006,2020,2023,4.692994132043462,0.6440632683604465,4.571400036586671,1.4613443628693392,7.286542118742679,1.0,Solar,1547,LARGE_TRIADIC_STRUCTURE
T822,2002,2021,2024,5.9026555333668576,0.5144514862615838,6.066231388182682,1.4581171966954667,11.79164906736838,1.0,Solar,1548,LARGE_TRIADIC_STRUCTURE
T1148,2004,2009,2023,1.2866105406822144,3.933854801607886,5.041436522148703,1.453854143450477,3.9183858384026014,1.0,Solar,1549,LARGE_TRIADIC_STRUCTURE
T1435,2005,2018,2021,4.373496466640408,0.7571736668727787,4.78243669864322,1.4536444474544095,6.316168810248352,1.0,Solar,1550,LARGE_TRIADIC_STRUCTURE
T1352,2005,2010,2022,1.2249436735183623,3.744427978328315,4.75706127321746,1.449619551157259,3.8834938912365837,1.0,Solar,1551,LARGE_TRIADIC_STRUCTURE
T1332,2005,2009,2017,1.0392933851517998,3.7399107357463746,4.50032108168606,1.4478014097918694,4.330173891204686,1.0,Solar,1552,LARGE_TRIADIC_STRUCTURE
T1047,2003,2020,2022,5.465780229768622,0.5554172093215642,5.322462373309398,1.4453453283861109,9.840855014998564,1.0,Solar,1553,LARGE_TRIADIC_STRUCTURE
T2049,2010,2011,2020,0.8378426019884997,3.5653341034908967,3.8706022300893483,1.441237421745381,4.619724779932445,1.0,Solar,1554,LARGE_TRIADIC_STRUCTURE
T2069,2010,2013,2015,3.272569755504447,1.60958323303599,4.703078638181932,1.4409102082804934,2.9219232293511173,-1.0,Nuclear,1555,LARGE_TRIADIC_STRUCTURE
T1171,2004,2011,2017,1.7854780106890713,3.091392993223397,4.707466774619499,1.4407250930283364,2.6365302436868108,-1.0,Solar,1556,LARGE_TRIADIC_STRUCTURE
T2202,2011,2017,2019,3.091392993223397,0.9419667832161248,3.091028495207535,1.4389106944267922,3.281849262952309,-1.0,Solar,1557,LARGE_TRIADIC_STRUCTURE
T1914,2008,2021,2025,4.243900853854283,0.6959751395997428,4.453591709716883,1.438362352539831,6.3990672314504735,1.0,Solar,1558,LARGE_TRIADIC_STRUCTURE
T1904,2008,2019,2024,3.910477482639411,0.8551861091028136,4.409216639218893,1.4372608774831357,5.155856242619115,1.0,Solar,1559,LARGE_TRIADIC_STRUCTURE
T1996,2009,2016,2017,3.8488704946890007,0.767881969213521,3.7399107357463746,1.4346797018343933,5.012320446371576,-1.0,Nuclear,1560,LARGE_TRIADIC_STRUCTURE
T282,2000,2019,2022,6.648397217603109,0.5315250483547768,6.973230167305361,1.4316199383197217,13.119287959973887,1.0,Solar,1561,LARGE_TRIADIC_STRUCTURE
T857,2003,2005,2012,0.8881030229852249,3.3438883652067917,3.6816579317087057,1.4310597928547186,4.145530232892762,-1.0,Nuclear,1562,LARGE_TRIADIC_STRUCTURE
T812,2002,2019,2023,5.557076712595373,0.6221557527655895,5.929616977670892,1.4288216838553558,9.530759703358399,1.0,Solar,1563,LARGE_TRIADIC_STRUCTURE
T2134,2010,2020,2024,3.8706022300893483,0.745508496107639,3.8377797877650086,1.4285447468813595,5.191895532107387,-1.0,Solar,1564,LARGE_TRIADIC_STRUCTURE
T2052,2010,2011,2023,0.8378426019884997,3.4771224760265715,3.735375288495903,1.4274470969675286,4.458325799655596,1.0,Solar,1565,LARGE_TRIADIC_STRUCTURE
T1667,2007,2010,2013,0.877854928145664,3.272569755504447,3.495397084288107,1.424540002960062,3.9817479770508384,-1.0,Nuclear,1566,LARGE_TRIADIC_STRUCTURE
T595,2002,2003,2022,0.7576012954323174,5.322462373309398,5.883499666721799,1.4230142461525028,7.765957769864214,1.0,Solar,1567,LARGE_TRIADIC_STRUCTURE
T2272,2012,2016,2019,1.8798712220068592,1.6732057891505538,3.002382836615819,1.4227598157609502,1.7943894624821113,1.0,Other Fossil,1568,LARGE_TRIADIC_STRUCTURE
T011,2000,2001,2012,0.8478459611375836,4.754891856930345,5.389133931754435,1.4219020121034827,6.35626538165453,1.0,Nuclear,1569,LARGE_TRIADIC_STRUCTURE
T333,2001,2003,2013,1.2159780071471216,4.1705482731346395,5.222444253797595,1.4204108470411272,4.294850912682445,1.0,Nuclear,1570,LARGE_TRIADIC_STRUCTURE
T1772,2007,2020,2023,4.564756493304473,0.6440632683604465,4.437371709971709,1.4172104638413616,7.087434911363136,-1.0,Solar,1571,LARGE_TRIADIC_STRUCTURE
T1149,2004,2009,2024,1.2866105406822144,4.041742083854276,5.169522743196531,1.4120523664247282,4.017939057498655,1.0,Solar,1572,LARGE_TRIADIC_STRUCTURE
T1144,2004,2009,2019,1.2866105406822144,3.591529653323521,4.676548897062097,1.411825436099922,3.6347820487949654,1.0,Solar,1573,LARGE_TRIADIC_STRUCTURE
