L_km,P_nue,P_numu,P_nutau
L1438.08,1.0002250951e-01,2.8221539045e-01,6.1776210005e-01
L1442.08,1.0203874651e-01,2.6456704268e-01,6.3339421080e-01
L1446.08,1.0400971928e-01,2.4729878326e-01,6.4869149746e-01
L1450.09,1.0593227628e-01,2.3043888752e-01,6.6362883620e-01
L1454.09,1.0780333884e-01,2.1401494973e-01,6.7818171143e-01
L1458.09,1.0961990656e-01,1.9805383782e-01,6.9232625563e-01
L1462.10,1.1137906262e-01,1.8258164916e-01,7.0603928822e-01
L1466.10,1.1307797898e-01,1.6762366782e-01,7.1929835320e-01
L1470.10,1.1471392141e-01,1.5320432298e-01,7.3208175561e-01
L1474.11,1.1628425440e-01,1.3934714891e-01,7.4436859669e-01
L1478.11,1.1778644587e-01,1.2607474641e-01,7.5613880773e-01
L1482.11,1.1921807181e-01,1.1340874571e-01,7.6737318248e-01
L1486.11,1.2057682066e-01,1.0136977114e-01,7.7805340820e-01
L1490.12,1.2186049756e-01,8.9977407315e-02,7.8816209513e-01
L1494.12,1.2306702837e-01,7.9250167124e-02,7.9768280451e-01
L1498.12,1.2419446357e-01,6.9205461510e-02,8.0660007492e-01
L1502.13,1.2524098189e-01,5.9859571032e-02,8.1489944708e-01
L1506.13,1.2620489375e-01,5.1227619326e-02,8.2256748693e-01
L1510.13,1.2708464451e-01,4.3323548472e-02,8.2959180702e-01
L1514.14,1.2787881748e-01,3.6160096331e-02,8.3596108619e-01
L1518.14,1.2858613670e-01,2.9748775860e-02,8.4166508744e-01
L1522.14,1.2920546951e-01,2.4099856466e-02,8.4669467402e-01
L1526.14,1.2973582887e-01,1.9222347412e-02,8.5104182372e-01
L1530.15,1.3017637543e-01,1.5123983311e-02,8.5469964126e-01
L1534.15,1.3052641936e-01,1.1811211724e-02,8.5766236891e-01
L1538.15,1.3078542198e-01,9.2891828848e-03,8.5992539514e-01
