depth_m,x_SiO2,x_Al2O3,x_Rb,x_Zr,clr_SiO2,clr_Al2O3,clr_Rb,clr_Zr,aitchison_step,helmsman,regime,Keff,cnq_radial,bary_x,bary_y,logSiAl,logZrRb,CaCO3_pct,TOC_pct,alpha_SiO2,alpha_Al2O3,alpha_Rb,alpha_Zr
29.2,0.701481,0.29805,0.000242,0.000227,4.216,3.36,-3.7571,-3.8189,0.0582,Rb,0,1.8467,7.6003,-0.1075,0.0203,0.8559,-0.0617,7.25,1.25,0.17,0.28,1904.79,1559.05
30.44,0.708705,0.290835,0.000233,0.000226,4.2397,3.3491,-3.7795,-3.8093,0.0357,SiO2,0,1.835,7.6149,-0.0812,0.0095,0.8907,-0.0299,3.08,1.07,0.63,0.32,1619.1,314.91
31.77,0.707095,0.292452,0.00023,0.000223,4.2438,3.361,-3.7871,-3.8177,0.0169,Al2O3,0,1.8375,7.6304,-0.0883,-0.0055,0.8829,-0.0306,3.75,0.94,0.08,1.7,875.47,1073.71
32.55,0.710376,0.289154,0.000237,0.000234,4.2314,3.3325,-3.7761,-3.7878,0.0445,Zr,0,1.8324,7.5906,-0.0609,0.0264,0.8988,-0.0116,2.08,0.9,0.11,1.4,265.73,2025.55
33.75,0.706621,0.29292,0.000244,0.000215,4.2375,3.3569,-3.7326,-3.8618,0.0895,Zr,0,1.8384,7.6205,-0.1468,0.0327,0.8806,-0.1292,10.25,1.41,0.01,0.26,998.7,2928.89
34.75,0.71102,0.288511,0.000245,0.000224,4.2342,3.3322,-3.7391,-3.8272,0.0432,Zr,0,1.8313,7.5935,-0.1077,0.0487,0.902,-0.0881,11.0,1.18,0.01,1.12,92.21,2994.44
35.65,0.717108,0.282437,0.000236,0.000219,4.2615,3.3297,-3.7583,-3.8329,0.034,SiO2,0,1.821,7.62,-0.0974,0.0324,0.9318,-0.0746,3.92,0.82,0.91,0.02,1303.46,124.75
36.75,0.710693,0.288854,0.000232,0.000222,4.2501,3.3498,-3.7792,-3.8208,0.0334,Rb,0,1.8317,7.6266,-0.0886,0.0066,0.9003,-0.0415,2.33,1.52,0.16,1.28,1657.43,603.6
37.75,0.717796,0.281738,0.000249,0.000217,4.2517,3.3165,-3.7157,-3.8526,0.0785,Rb,0,1.8199,7.5977,-0.1285,0.0712,0.9352,-0.1369,8.08,1.01,0.0,0.62,2830.02,740.16
38.71,0.717793,0.281752,0.00024,0.000214,4.2635,3.3284,-3.7378,-3.8541,0.0278,Rb,0,1.8198,7.6211,-0.1223,0.0456,0.9352,-0.1163,7.08,0.82,0.25,0.65,2547.2,14.59
