SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5
47.05463427,3.452988794,14.82333355,13.87959902,7.866276246,5.526825259,0.265614523,0.919434886,4.59717443,1.614119022
48.40070109,2.127953039,16.03126159,11.42395476,11.7242028,6.649853246,0.163688695,0.450143912,2.619019125,0.409221738
47.04562707,2.742889075,15.39065537,12.4612031,9.965830307,8.177872984,0.19301812,0.558736664,3.088289922,0.375877392
50.50961258,1.960536546,15.66365514,10.80590579,11.2472886,5.86097241,0.196053655,0.54688651,2.889211751,0.319877015
45.98810581,2.379056522,16.28658077,12.06923252,11.32933965,8.017525283,0.199128079,0.555462536,2.892597357,0.282971481
52.41387515,4.020956498,13.23480656,12.1552343,8.345000169,4.313940765,0.222263927,1.293171939,3.263238565,0.737512122
49.71753197,3.907395063,12.85166657,14.1390637,9.229185734,5.535476339,0.264563207,0.580003955,2.706685122,1.068428337
48.07011349,2.486927941,16.1702783,11.92917212,10.32547297,7.376836888,0.19937397,0.975883116,2.067193267,0.39874794
43.58229164,3.777336122,13.43506577,20.12465454,9.800655884,5.625168117,0.285852463,0.153135248,2.776852501,0.438987712
50.75843006,3.183104565,14.58587155,11.59833653,9.065804139,4.10983121,0.261901009,1.087896497,4.613486995,0.735337447
47.17789826,2.430592301,15.76325551,12.2444311,11.40039318,7.779929332,0.233906372,0.335604795,2.318724036,0.31526511
44.66779885,2.957457001,14.59352058,14.26434134,12.13577183,7.964737649,0.214160679,0.356934466,2.518937515,0.326340083
44.99323698,2.714137901,14.97384759,14.61219742,10.90776175,9.074438417,0.215082626,0.307260895,1.843565367,0.358471044
48.67226229,0.582403139,15.72488474,13.06593153,10.88885868,8.476045676,0.218401177,0.145600785,1.872010088,0.353601906
46.26749433,1.044509202,15.13472517,10.21484169,10.71154845,15.0281426,0.181190372,0.266456429,1.065825716,0.085266057
53.56114975,2.161203606,15.90319635,8.852257349,9.072977403,5.912726847,0.183498419,1.661680131,2.385479452,0.305830699
42.67415631,2.431195924,15.19240997,14.60039633,11.4584213,10.18640318,0.205164213,0.543685165,2.420937714,0.287229898
46.20899298,2.386284977,15.91530743,12.32424986,10.76861653,8.513779451,0.182004786,0.566237113,2.730071795,0.404455081
47.06842563,2.587744613,15.43477594,12.43438998,10.82981308,7.78360978,0.193571447,0.621466226,2.628496496,0.417706808
45.68637209,2.525634268,15.48101328,11.83798115,11.9021793,8.589201558,0.184054319,0.664640597,2.842616706,0.286306719
47.05545717,2.528073423,15.19965132,11.11169001,11.50637533,8.562158137,0.187264698,0.603408471,3.245921432,0.0
47.23824645,2.492286113,14.94324489,11.05261243,12.12633327,7.717709517,0.188492227,0.764440698,3.476634409,0.0
50.110605,3.104378106,12.53021262,15.92565435,7.99146839,4.887090285,0.276627752,0.409818892,4.210889113,0.553255504
49.26904065,1.586371588,21.04993068,6.55661207,13.43331325,5.430271972,0.122028584,0.050845243,2.318543089,0.183042876
50.62493842,3.022384383,14.18505737,13.19712051,9.32909313,4.805591169,0.221641521,0.453357658,3.62686126,0.533954574
51.38329588,3.293151481,13.92243118,13.60797068,8.683787136,4.640810395,0.233053797,0.455974821,3.242487612,0.537037011
48.2068193,2.733636332,15.69571267,11.83770649,10.86393479,7.272884853,0.221918817,0.373227101,2.017443787,0.776715858
45.78234392,2.23502749,14.13476289,11.91542346,11.37924955,11.2771935,0.173495285,0.469457829,2.347289144,0.285756939
47.38538834,2.214554,14.23786316,11.49873694,11.24467602,10.18290355,0.192130256,0.303363562,2.45724485,0.283139324
45.67052165,2.438766918,14.31494699,12.4298232,11.83519239,9.601363873,0.194691477,0.686543628,2.469507677,0.358642194
45.94416694,2.491817212,14.63170355,12.95114582,11.6147513,8.700766712,0.195638541,0.658992982,2.43003662,0.380980318
46.76648263,3.914956039,14.27031903,14.3780858,9.574400261,5.334888281,0.263701702,0.77082036,3.4382645,1.288081391
47.58959699,2.790499231,14.33530832,12.13453325,11.40377303,7.887945479,0.191406084,0.715254315,2.740129208,0.211554093
47.71494527,3.592320423,14.22721252,14.41347332,8.656071527,5.114490093,0.263842743,1.024927578,3.663355007,1.329361512
44.66652978,4.181113519,14.66449083,16.08199233,10.02447461,5.88415244,0.265143784,0.683255136,2.906383787,0.642463785
45.63008562,3.591725143,14.98407024,14.40564871,10.02647779,6.040168761,0.202350712,1.173634131,3.510784858,0.435054031
48.81190789,2.416929625,14.58214207,11.14762465,10.87618331,8.670735031,0.201410802,0.604232406,2.336365304,0.352468904
47.16302332,3.604688802,14.78123788,13.95064106,9.938066613,6.524688111,0.211448226,0.644413641,2.879723456,0.302068894
46.30650602,4.072003779,14.03136277,15.38055202,9.648442451,5.917443915,0.230680017,0.902660936,3.129224579,0.381123506
48.07391387,2.220341686,14.95967769,11.17628579,11.57390779,8.439307764,0.180842309,0.673135262,2.561932714,0.140655129
50.46581019,3.207268749,14.55054832,13.68040913,8.42292304,4.344670765,0.16394984,1.516536022,3.156034424,0.491849521
49.43727807,3.435715954,15.69731301,12.95500477,7.601778713,4.567239173,0.205731494,1.717857977,3.734026621,0.648054207
49.09618043,2.203360684,16.4946029,12.38581058,9.190870261,6.059241881,0.18361339,0.642646866,3.396847721,0.346825293
52.31180033,3.045900058,13.39991603,13.45759802,8.432441436,4.384869547,0.224865105,1.604719158,2.688160118,0.44973021
52.01144622,2.738516155,13.77402363,12.86632057,9.121600277,4.479357279,0.254508936,1.150380392,3.298435815,0.305410724
51.93501544,3.282366599,13.41577875,13.25758299,8.558694216,4.519644974,0.173832499,1.441787198,3.006279689,0.409017645
50.53356596,3.558268545,13.94595164,13.28899478,8.982833559,4.799048066,0.194833148,1.292051402,2.932751596,0.471701306
47.41163483,3.226204616,15.84912171,13.77994265,8.571889935,6.316678941,0.208815833,0.783059373,3.320171741,0.532480374
46.45183126,3.241550291,15.27268887,15.49112157,8.384394504,6.59738601,0.238960438,0.612985472,3.210381539,0.498700045
47.49395711,2.025261538,16.11814364,12.2001902,10.07383978,8.636218892,0.188884496,0.419743324,2.560434277,0.283326744
